UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS
cc9a3aac-d24f-4fc2-8805-072a1cd54caf,Anabasis.1.en.txt,Cyrus,char-offset:32321,PERSON,,,,,,,,Cyrus,
a74323a2-28c2-482c-94b7-7a468bc94f0d,Anabasis.1.en.txt,Cyrus,char-offset:32512,PERSON,,,,,,,,,
4a8174c3-91c7-490e-ae6e-8da9b0b00a89,Anabasis.1.en.txt,Cyrus,char-offset:32644,PERSON,,,,,,,,Cyrus,
3c2ec83c-a7fc-4572-a1d8-5de87a960b00,Anabasis.1.en.txt,Cyrus,char-offset:33084,PERSON,,,,,,,,,
0f190dae-df52-4014-b338-f46787131ec1,Anabasis.1.en.txt,Cyrus,char-offset:33235,PERSON,,,,,,,,Cyrus,
40c7fa82-6c3d-4dc9-b1db-04947bef2a01,Anabasis.1.en.txt,Glus,char-offset:33298,PERSON,,,,,,,,,
b7f0ab5f-ac75-4cb4-a087-a605f23f281c,Anabasis.1.en.txt,Cyrus,char-offset:33461,PERSON,,,,,,,,,
d2c0a16f-15c5-416e-805a-8b79a13a3f90,Anabasis.1.en.txt,Menon,char-offset:33477,PERSON,,,,,,,,,
e795750d-de9f-4009-bc48-de201f7091c7,Anabasis.1.en.txt,Menon,char-offset:33562,PERSON,,,,,,,,Menon,
1cdb5378-73f0-4e09-82a0-bce2ef0dc68e,Anabasis.1.en.txt,Cyrus,char-offset:33576,PERSON,,,,,,,,Cyrus,
0b360744-e246-40c0-aaf3-46a4eb630847,Anabasis.1.en.txt,Cyrus,char-offset:33646,PERSON,,,,,,,,Cyrus,
299ddbc8-08a6-4852-8896-82bd3195907b,Anabasis.1.en.txt,Abrocomas,char-offset:33939,PERSON,,,,,,,,Abrocomas,
460a7621-0762-4468-ba9e-d5543e435d1b,Anabasis.1.en.txt,Cyrus,char-offset:33991,PERSON,,,,,,,,,
e4006474-5a60-4d5b-b763-a56f810b748f,Anabasis.1.en.txt,Cyrus,char-offset:34144,PERSON,,,,,,,,Cyrus,
82397ce5-091f-4293-961f-5e258bcf37f5,Anabasis.1.en.txt,Cyrus,char-offset:35969,PERSON,,,,,,,,Cyrus,
7f7aa5fa-5dbd-4295-8802-c0edc54ff28c,Anabasis.1.en.txt,Cyrus,char-offset:36627,PERSON,,,,,,,,,
c7a74e27-28c9-4765-b51f-96ad8021f16f,Anabasis.1.en.txt,Cyrus,char-offset:36885,PERSON,,,,,,,,Cyrus,
e049a0f0-2d09-49d2-9237-033a892da907,Anabasis.1.en.txt,Cyrus,char-offset:37109,PERSON,,,,,,,,Cyrus,
07dd0bd8-2168-4a90-a4ed-138826281e2f,Anabasis.1.en.txt,Glus,char-offset:37175,PERSON,,,,,,,,,
